ID,Rating,Content,Tag1,Tag2,Writer,받고싶어요,감동이에요,재미있어요,속상해요,URL
645b8d66e8e0a263a6bdfa43,4,"딸이 선물해준거
너무 사랑스럽고 이쁜딸",어버이날,자녀,다정한 프로도,32,4,0,0,https://st.kakaocdn.net/product_review/gift/review/de4f165a6a2abfc60b1c5a790c98a38cd622720c
6483172aa120d23542aaa466,4,"잘받았어요 많이파세요 
선물받았는데 먹고좋으면
선물해야겠어요",응원,직장동료,기분 좋은 스카피,0,3,0,0,https://st.kakaocdn.net/product_review/gift/review/5aed4f35a19601337a51cf6fea0cb7787ccb51d9
64736157c998da195c30b529,4,"육아한다고 눈 충혈돼서 다녔더니
이런것도 선물로 받아보네요
수험생때나 먹던건데ㅋㅋ 
멀티비타민으로 육아도 일도 힘내봅니다",생일,직장동료,다정한 앙몬드,0,4,1,0,https://st.kakaocdn.net/product_review/gift/review/c7b6c5a64b98d15b338cde223ddd00070e118e1f
6482ebae6440f91538493e08,4,"감사히 잘먹을게요!
 집사님^^",생일,동역자,활기찬 스카피,0,3,0,0,https://st.kakaocdn.net/product_review/gift/review/26eb6c03271f4438b9b4d42745833de15efb3289
64897f9d96e71e38430c942f,4,"귀한 분에게 받은
소중한 선물에
무한 감사와 감동에
감계 무궁 무진 무량 합니다.🙏
☮️⭕🌌🧞&zwj;♀️🔯",생일,선생님,🌈사행🔮일치☮️,1,1,0,0,https://st.kakaocdn.net/product_review/gift/review/f0c87f40b07bd9ab36d8f9729fa16acd85e004db
6482ac9b6440f91538493cd3,4,조카아이가 힘내라고 사줬는데 말그대로 힘이팍팍납니다*^^*,응원,부모님,기뻐하는 콘,0,3,0,0,https://st.kakaocdn.net/product_review/gift/review/f92216a9ab252b994508006e811ea5edaa087171
648952311a0e48147aae34b5,4,하나 먹었는데 맛있네요&hellip;ㅋㅋㅋ,생일,지인,기분 좋은 튜브,1,1,0,0,https://st.kakaocdn.net/product_review/gift/review/c98c066f02c2239392f5cc4e16bf78473d11fd3a
64886bc1325d913f65638aa1,4,친구가 생일 선물로 보내줬어요. 포장도 꼼꼼하게 잘 되어서 왔고 유통기한도 넉넉합니다. 한살한살 나이 먹어가면서 기력이 뚝뚝 떨어지는게 체감되는 요즘 귀한 영양제 포션 먹고 힘낼게요! 많이파세요~,생일,친구,친절한 무지,0,2,0,0,https://st.kakaocdn.net/product_review/gift/review/b4f1e8c805cc9273999f735a3cac64ccd2911941
6488525dfb8e03382a62cb2e,4,7일치로 구성돼 있어서 좋습니다:) 최고에요!,생일,직장동료,행복한 콘,1,1,0,0,https://st.kakaocdn.net/product_review/gift/review/99fe4b2941f65c1a91f8af8af1e7ad82e2fd12c7
648833596440f91538495363,4,피로함이 줄어드는걸 느껴요. 모두 건강 잘 챙기시고 행복하세요.,생일,형제/자매,친절한 스카피,0,2,0,0,https://st.kakaocdn.net/product_review/gift/review/c79e4660572fac07a1bd1c71c16d99e952470491
64882b0e5625ae221335db6d,4,"조카가 선물해준 피로회복제 넘좋아요
추천드려요 👍🏻",생일,조카,기뻐하는 네오,0,2,0,0,https://st.kakaocdn.net/product_review/gift/review/56cba84d2d6cf645b6d864a6caefc5f43f33a4de
6487fed8ce385c329e91f862,4,"첨 먹어보는것 같아 
설레임니당^^*",생일,선/후배,상냥한 어피치,1,1,0,0,https://st.kakaocdn.net/product_review/gift/review/ac68379415cfa062770115f6662cee22fbc57f4f
647447027bdefb3fdbc8a15f,4,건강챙길수있어좋아요,생일,친구,기분 좋은 스카피,0,4,0,0,https://st.kakaocdn.net/product_review/gift/review/d970016c4a3344eb4cd919554d21f6fee5dbcf46
6473384250ff7559a7c4d8b8,4,"생일날까지도 늦게 야근한다며 투덜 거렸더니 힘내라며 친구가 보내준 선물🎁 
덕분에 피로가 싹 날아갔어요ㅎ
소소하지만 감동감동
맛있게 건강 챙겼어요 목넘김 굳굳",생일,친구,행복한 어피치,0,4,0,0,https://st.kakaocdn.net/product_review/gift/review/a591bef216bc85b1ded1257e282ab12f18840e70
