ID,Rating,Content,Tag1,Tag2,Writer,받고싶어요,감동이에요,재미있어요,속상해요,URL
6321b0d2d1742b27d2c3a216,4,제자야! 선물 고맙고 비타민 먹고 선생님 힘 낼게. 그리고 겨울 방학되면 학교에 한 번 강민이랑 꼭 들리거라. 샘하고 맛있는 밥 한 번 먹자. 알았제!!!!,감사,제자,황재호,854,25,8,4,
63da33aad7e31d0912f307de,4,체력이 딸려서 힘들 때마다 먹고있어요. 요단강에 발 담구고 있는데 현실 세계로 멱살잡고 끌어다주는 생존템,생일,친구,친절한 프로도,8,5,143,6,
64008a6be7eaf455326e2ddd,4,"한번 먹으렸는데, 서울조카가 보냈습니다. 정을 생각하면 벌써 건강을 눈앞에 둔 느낌이 듭니다.",생일,조카,기분 좋은 어피치,14,3,0,0,https://st.kakaocdn.net/product_review/gift/review/53b13ab86f05cc392e52ee506d52c7db7726c0a7
6393310b09b8e41700c12da5,4,조카가 선물로 줬네요~ 먹고 나니 힘이 납니다~ 이모를 생각하는 조카 마음이 이뻐서 그런지 더 효과가 있네요!!,감사,조카,기분 좋은 프로도,26,4,0,0,https://st.kakaocdn.net/product_review/gift/review/e49ba9fdf9577d3368adc1721d6b35c6ed041ee7
63ab939299f6e96c53a73b0f,4,내사랑 오소리 넘 감동이야 고마워잉😭😭😭❤️❤️❤️ 에너자이저 너구리되서 돈많이 벌어올께영!!🫡 맛난거 다 사줄꼬양~~!! 오늘 하루도 화이팅해용🫰사랑해용 알라뷰💋💋💋,응원,연인,이다솜,14,4,2,3,https://st.kakaocdn.net/product_review/gift/review/b0f6a44d346d1fedff642a96e19ae4c23cc73b53
645b6dbdfc942f5ae76d88f7,4,"소문으로만 듣고 있었는데 큰딸 어버이 선물로 받고 너무 행복했습니다~^^
피곤해서 오자마자 하나 먹었는데  듣던데로 피로회복력이 빠르고  먹기도 한번이라 간편하고 좋으네요^^  맛도 시큼하니 맛있습니다~ㅋ
나중에  내돈주고 구매할까 생각중입니다^^",어버이날,자녀,기분 좋은 죠르디,3,0,0,0,https://st.kakaocdn.net/product_review/gift/review/f853b1c68e84d3206faa939f8bab1630fa2a1452
6222a29da10564150e68b60c,4,우리 아기가 다 커서 이런것도 보내주고🥺🤍 벌써 건강해진 기분이네요^^,응원,자녀,친절한 튜브,599,17,2,2,
6468967d8d54a412c4e72dc7,4,빠른 배송 감사합니다! ^^,스승의날,제자,상냥한 앙몬드,0,0,1,1,https://st.kakaocdn.net/product_review/gift/review/2134852a0a74e4f50cd6b60de83c15466a7f7806
64258cc21750ce432b2cf080,4,"명품비타민,, 먹기에도 겁나네요... 아까워요 그래도 건강을 위해 잘먹어보겠습니당 생일덕에 이런 선물도 받고 잘먹고 더더 건강해질게~~!~!~!~!!",생일,친구,행복한 네오,2,1,0,0,https://st.kakaocdn.net/product_review/gift/review/8b06bf0dd260b8cd3030296b6eb54669c982a152
647b25362494e947a83dcbd0,4,빠른 배송 감사합니다,생일,조카,기분 좋은 앙몬드,0,0,1,0,https://st.kakaocdn.net/product_review/gift/review/86ae9c34dfd854f2b834ad52d59d7f2248a99fb0
